Academic_Level,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Age,Total_Spending,Marital_Status,Num_Of_Child
Graduation,31353,29-12-2022,24,11,2,10,3,1,7,2,1,1,2,8,0,-1,0,0,0,0,Female,6,Mobile,45,34,Married,2
Graduation,34824,26-03-2023,65,5,4,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,Other,4,Card,35,26,Single,0
Master,42021,31-08-2021,34,394,7,136,7,5,27,5,10,1,6,9,1,-1,0,0,0,0,Female,22,Not Provided,35,576,Together,1
PhD,40233,14-10-2022,84,81,6,46,0,17,2,5,2,1,5,6,0,0,0,0,0,0,Male,13,Online,38,152,Married,1
Graduation,48752,12-12-2021,8,74,59,100,71,15,0,5,6,1,5,9,0,-1,0,0,0,0,Other,17,Not Provided,32,319,Married,2
Graduation,29236,08-10-2022,30,38,6,24,16,9,9,2,4,0,3,9,0,-1,0,0,0,0,Female,9,Not Provided,36,102,Single,1
Graduation,34968,10-04-2022,11,159,8,45,8,2,2,7,3,2,5,7,0,-1,0,0,0,0,Male,17,Online,35,224,Married,1
Master,89120,17-03-2023,78,1169,94,408,72,129,55,1,5,6,7,1,0,-1,0,0,0,0,Other,19,Online,33,1927,Together,0
PhD,38097,15-10-2021,70,78,4,35,0,1,69,4,3,2,2,7,1,-1,0,0,0,0,Female,11,Mobile,46,187,Married,2
PhD,78028,10-09-2021,38,159,21,288,25,0,38,1,6,4,9,7,0,-1,0,0,0,0,Other,20,Online,32,531,Widow,1
Graduation,40464,11-01-2022,78,425,19,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,Male,24,Card,39,633,Single,1
PhD,22554,03-11-2021,38,28,2,10,0,0,4,4,2,0,4,5,0,-1,0,0,0,0,Female,10,Card,37,44,Married,2
Graduation,77044,27-10-2022,12,626,40,242,50,34,76,2,7,11,11,4,1,-1,0,0,0,0,Male,31,Online,36,1068,Together,1
Graduation,61823,18-02-2022,26,524,9,134,37,14,169,4,8,2,10,7,0,-1,0,0,0,0,Male,24,Card,38,887,Single,1
PhD,62745,23-03-2022,89,563,23,464,28,10,32,3,7,8,11,5,0,-1,0,0,0,0,Female,29,Mobile,39,1120,Married,1
Master,65487,10-01-2023,48,241,69,500,199,0,163,3,3,5,6,2,0,-1,0,0,0,0,Other,17,Online,31,1172,Together,0
Graduation,47850,03-12-2022,72,43,9,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,Other,8,Cash,42,137,Married,1
Graduation,72940,19-06-2022,13,183,76,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,Other,13,Cash,43,984,Married,0
Graduation,39552,18-12-2021,54,166,5,147,4,24,41,7,6,2,5,8,0,-1,0,0,0,0,Female,20,Online,40,387,Divorced,2
PhD,32313,11-02-2022,60,87,6,56,2,4,7,3,4,0,4,9,0,0,0,0,0,0,Male,11,Mobile,41,162,Together,1
Graduation,42586,29-10-2021,7,195,4,56,0,0,0,5,4,1,6,8,0,-1,0,0,0,0,Other,16,Mobile,33,255,Together,2
PhD,56320,08-04-2022,11,202,55,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,Other,21,Online,37,705,Married,1
PhD,52854,24-03-2023,43,106,2,10,0,1,0,2,2,1,4,5,0,-1,0,0,0,0,Other,9,Card,40,119,Married,2
Graduation,19329,14-12-2022,39,25,3,16,12,2,5,3,4,0,3,8,0,0,0,0,0,0,Other,10,Not Provided,42,63,Married,1
Graduation,85606,12-11-2021,89,718,44,864,219,30,84,2,6,7,9,3,0,-1,0,1,0,0,Other,24,Online,26,1959,Together,1
PhD,54959,19-01-2022,55,1149,2,60,0,0,24,3,9,5,4,7,0,-1,0,0,0,0,Female,21,Mobile,41,1235,Divorced,1
Graduation,51267,29-10-2022,37,184,4,64,7,2,12,4,3,3,5,4,0,0,0,0,0,0,Male,15,Online,45,273,Married,2
Graduation,88325,05-02-2023,42,520,73,860,93,27,53,1,6,2,9,2,0,0,0,0,0,0,Female,18,Cash,41,1626,Together,0
Graduation,75794,24-12-2022,33,755,162,625,63,32,48,1,7,5,12,3,0,0,0,1,0,0,Female,25,Cash,33,1685,Married,0
2n Cycle,59601,25-07-2022,14,692,9,69,0,7,23,4,2,2,7,8,0,0,0,0,0,0,Other,15,Mobile,40,800,Divorced,1
Graduation,65196,25-07-2022,34,744,21,181,12,0,200,2,7,6,11,5,1,1,0,0,0,0,Female,26,Mobile,46,1158,Together,2
Graduation,39922,14-02-2022,30,30,14,59,19,1,36,2,3,0,4,8,0,-1,0,0,0,0,Male,9,Mobile,42,159,Married,1
Graduation,20180,20-02-2022,27,19,44,24,15,20,18,1,2,1,4,7,0,-1,0,0,0,0,Other,8,Online,40,140,Single,0
Graduation,36108,15-10-2022,68,142,10,129,3,11,47,3,7,1,4,9,1,-1,0,0,0,0,Female,15,Mobile,39,342,Single,1
Graduation,37716,21-04-2023,4,98,3,41,6,2,41,2,4,1,3,7,0,-1,0,0,0,0,Other,10,Online,32,191,Married,1
Graduation,29672,12-03-2022,6,10,3,3,0,4,8,1,0,0,3,6,0,-1,0,0,0,0,Male,4,Mobile,45,28,Together,2
Graduation,57100,18-05-2023,9,159,13,99,15,11,17,2,3,2,7,3,0,-1,0,0,0,0,Male,14,Mobile,36,314,Single,1
Graduation,36790,01-03-2022,14,4,5,14,15,21,10,1,2,1,2,9,0,0,0,0,0,0,Female,6,Mobile,23,69,Married,0
Graduation,57136,18-05-2022,18,268,142,599,34,12,127,1,7,5,7,6,0,0,0,0,0,0,Other,20,Not Provided,39,1182,Divorced,0
PhD,67911,22-05-2023,63,530,2,356,63,28,0,3,6,7,11,3,0,-1,0,0,0,0,Other,27,Cash,40,979,Together,1
Master,56962,11-10-2022,60,293,5,77,10,3,26,7,6,3,5,7,0,-1,0,0,0,0,Male,21,Not Provided,40,414,Married,3
PhD,86836,12-09-2021,7,180,23,273,0,21,63,1,6,10,6,5,1,-1,0,1,0,0,Female,23,Not Provided,31,560,Married,0
Graduation,66480,31-05-2023,71,200,11,57,20,21,6,7,4,1,7,4,0,-1,0,0,0,0,Male,19,Card,39,315,Married,2
PhD,38829,06-04-2023,86,77,2,7,0,0,16,1,3,2,2,5,0,-1,0,0,0,0,Male,8,Mobile,31,102,Married,1
Graduation,29103,27-08-2021,38,17,2,17,6,3,6,2,1,0,3,9,0,-1,0,0,0,0,Other,6,Not Provided,42,51,Together,1
Graduation,102692,05-04-2022,5,169,150,444,32,172,148,1,6,9,13,2,0,-1,1,1,1,0,Female,29,Mobile,36,1115,Divorced,0
Master,49854,10-11-2022,63,124,19,171,39,0,30,5,6,2,5,6,0,-1,0,0,0,0,Other,18,Card,40,383,Together,1
Graduation,71427,12-03-2023,26,213,125,177,15,64,23,2,8,2,8,4,0,-1,0,0,0,0,Other,20,Not Provided,32,617,Married,2
PhD,80336,09-09-2022,12,210,21,456,160,142,66,1,2,9,13,1,0,-1,0,0,0,0,Other,25,Not Provided,36,1055,Married,0
2n Cycle,10404,04-05-2023,52,3,4,11,10,6,12,2,1,0,4,5,0,-1,0,0,0,0,Other,7,Card,40,46,Together,1
2n Cycle,47682,15-02-2022,80,163,63,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,Male,19,Mobile,33,524,Widow,1
Graduation,66886,16-09-2022,28,316,6,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,Male,17,Card,31,602,Together,1
PhD,34469,04-05-2023,58,20,8,20,0,5,12,3,1,1,4,4,0,-1,0,0,0,0,Other,9,Mobile,40,65,Married,2
Graduation,80134,14-02-2023,11,967,28,282,52,26,26,1,2,7,11,5,0,-1,1,1,1,0,Male,21,Card,38,1381,Together,0
Basic,16581,12-01-2022,51,2,5,4,2,3,11,1,0,0,3,4,0,-1,0,0,0,0,Other,4,Not Provided,33,27,Single,0
Graduation,75507,02-05-2023,56,710,95,374,104,80,80,1,8,6,6,3,0,-1,0,0,0,0,Female,21,Mobile,43,1443,Together,0
Master,48330,15-11-2022,2,29,2,4,0,0,0,1,1,0,3,5,0,-1,0,0,0,0,Female,5,Not Provided,41,35,Together,1
Graduation,72282,19-07-2022,70,504,29,419,90,139,153,1,5,7,9,7,0,-1,0,0,0,0,Other,22,Card,47,1334,Single,0
Graduation,50183,25-06-2023,47,98,14,84,13,10,15,7,3,1,6,5,0,-1,0,0,0,0,Other,17,Cash,33,234,Married,2
PhD,18988,23-05-2023,43,7,2,6,2,1,1,2,1,0,3,7,0,-1,0,0,0,0,Female,6,Cash,35,19,Married,1
Graduation,38360,31-05-2022,26,37,4,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,Male,9,Online,39,134,Married,1
2n Cycle,26490,22-09-2021,92,46,49,52,21,20,25,2,3,1,5,6,0,-1,0,0,0,0,Female,11,Online,46,213,Together,0
Graduation,59686,25-01-2023,78,90,17,89,34,42,5,1,4,1,6,4,0,0,0,0,0,0,Male,12,Card,28,277,Single,1
PhD,45072,16-10-2022,74,145,4,99,7,2,30,5,6,1,4,8,0,-1,0,0,0,0,Female,16,Online,46,287,Divorced,3
Graduation,22804,31-07-2022,75,15,3,7,2,1,1,1,2,0,2,9,0,-1,0,0,0,0,Female,5,Cash,41,29,Single,1
Master,62845,01-10-2021,3,1100,2,45,0,0,34,11,3,4,10,8,0,-1,0,0,0,0,Male,28,Mobile,38,1181,Married,2
Graduation,38998,03-11-2021,92,35,3,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,Other,8,Mobile,36,57,Married,2
Graduation,34377,19-01-2022,55,63,2,22,3,1,26,2,2,2,2,7,0,-1,0,0,0,0,Female,8,Mobile,40,117,Single,1
Graduation,73807,02-01-2022,88,367,126,156,71,78,54,2,5,5,11,2,0,0,0,0,0,0,Other,23,Not Provided,36,852,Married,1
Graduation,60714,17-01-2022,56,217,164,224,101,92,162,2,7,4,10,5,0,-1,0,0,0,0,Other,23,Card,37,960,Single,0
PhD,54222,01-03-2023,98,200,14,31,3,12,7,1,3,3,5,3,0,-1,0,0,0,0,Other,12,Online,39,267,Married,1
Master,66835,28-09-2022,21,621,28,195,34,17,141,1,6,4,13,2,0,-1,0,0,0,0,Other,24,Cash,35,1036,Married,0
Graduation,29009,29-11-2022,19,7,8,15,10,5,2,2,2,0,3,6,0,-1,0,0,0,0,Other,7,Online,40,47,Married,1
Graduation,70503,30-09-2021,73,1380,35,216,0,33,66,1,2,4,9,6,0,0,0,0,0,0,Female,16,Not Provided,41,1730,Married,0
Master,58656,20-09-2021,25,963,14,194,16,24,12,4,7,8,13,6,0,0,0,0,0,0,Other,32,Cash,47,1223,Together,1
Graduation,64260,11-01-2022,1,540,171,816,20,0,30,1,4,5,4,3,0,-1,0,0,0,0,Female,14,Cash,38,1577,Together,0
Graduation,54803,21-08-2021,65,405,2,92,28,27,142,2,6,2,9,4,0,-1,0,0,0,0,Female,19,Not Provided,42,696,Single,1
Graduation,55357,19-02-2022,66,375,66,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,Female,22,Card,38,730,Married,2
Master,30522,17-08-2021,6,180,10,83,19,11,26,5,1,2,9,2,0,-1,0,0,0,0,Other,17,Card,40,329,Married,1
PhD,69063,07-11-2021,16,667,37,124,69,8,26,1,5,3,5,3,0,-1,0,0,0,0,Other,14,Not Provided,37,931,Married,1
Graduation,44794,08-06-2023,99,55,2,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,Other,6,Online,30,68,Married,1
Graduation,68142,29-08-2021,96,898,128,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,Female,24,Cash,47,1462,Together,1
Master,35791,06-05-2022,94,28,2,5,0,0,3,2,1,0,3,8,0,-1,0,0,0,0,Female,6,Online,36,38,Single,3
Graduation,40321,29-07-2022,59,45,6,21,6,0,27,2,3,0,3,7,0,-1,0,0,0,0,Female,8,Online,48,105,Married,2
PhD,29187,09-05-2022,43,27,2,6,0,0,2,1,1,0,3,8,0,-1,0,0,0,0,Other,5,Cash,33,37,Married,1
PhD,38513,28-01-2023,20,173,5,115,16,0,18,5,6,1,5,8,0,0,0,0,0,0,Other,17,Not Provided,39,327,Single,1
PhD,82032,05-04-2023,54,333,196,377,149,125,57,0,4,6,7,1,0,-1,0,0,0,0,Other,17,Mobile,38,1237,Widow,0
Graduation,38232,17-01-2023,84,44,7,28,7,6,33,4,3,1,3,5,0,-1,0,0,0,0,Other,11,Mobile,44,125,Together,2
Graduation,39922,14-02-2022,30,30,14,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,Male,9,Not Provided,43,159,Married,1
Graduation,70165,22-09-2022,60,162,2,253,199,191,122,1,3,7,11,1,0,-1,0,0,0,0,Female,22,Cash,45,929,Widow,0
Graduation,59594,20-10-2021,74,458,6,29,0,0,9,1,8,1,7,7,0,-1,0,0,0,0,Male,17,Cash,40,502,Married,1
Graduation,64590,14-10-2021,98,921,140,168,36,46,30,1,9,4,10,6,0,-1,0,0,0,0,Female,24,Mobile,37,1341,Married,0
Graduation,44421,15-02-2022,53,111,7,59,7,1,7,5,5,0,4,8,0,-1,0,0,0,0,Female,14,Not Provided,44,192,Divorced,2
2n Cycle,20193,28-11-2021,18,9,10,22,24,11,9,1,1,1,4,4,0,0,0,0,0,0,Male,7,Cash,39,85,Together,0
Graduation,74854,08-04-2022,90,857,61,487,58,29,73,7,2,5,5,5,0,-1,0,0,0,0,Female,19,Mobile,29,1565,Together,3
Graduation,58113,25-01-2022,66,222,106,169,102,78,84,3,9,2,8,7,0,-1,0,0,0,1,Male,22,Mobile,36,761,Married,1
2n Cycle,78041,16-12-2021,93,483,37,553,72,160,17,1,4,4,9,2,0,-1,0,0,0,0,Male,18,Not Provided,29,1322,Married,0
2n Cycle,82122,15-08-2022,89,735,24,350,151,25,100,1,3,9,13,1,0,0,0,0,0,0,Other,26,Mobile,34,1385,Together,0
2n Cycle,88194,19-03-2023,19,689,16,309,201,24,38,1,11,10,10,5,1,-1,0,1,0,0,Female,32,Not Provided,34,1277,Single,1
Graduation,30822,14-06-2022,92,4,11,13,2,12,12,1,1,0,3,7,0,-1,0,0,0,0,Male,5,Cash,41,54,Single,1
Master,78285,28-10-2022,13,648,109,391,175,67,40,1,6,4,10,3,0,-1,0,0,0,0,Other,21,Not Provided,39,1430,Married,0
Basic,18746,29-05-2023,41,3,12,11,12,9,20,2,3,0,3,6,0,-1,0,0,0,0,Male,8,Cash,41,67,Single,1
Graduation,18589,02-01-2022,89,7,6,25,15,12,13,2,2,1,3,7,0,-1,0,0,0,0,Female,8,Cash,34,78,Single,0
Graduation,75702,14-10-2021,87,1074,2,629,145,37,37,1,10,5,13,6,0,-1,0,0,0,0,Other,29,Mobile,26,1924,Together,1
Graduation,37150,11-09-2021,80,168,39,64,49,34,116,8,4,3,6,7,0,-1,0,0,0,0,Female,21,Not Provided,38,470,Married,1
Master,41020,28-10-2022,68,113,3,54,7,7,36,1,3,2,4,3,0,-1,0,0,0,0,Other,10,Card,44,220,Single,0
PhD,42403,11-12-2022,18,23,3,11,0,5,3,1,1,0,3,8,0,-1,0,0,0,0,Other,5,Mobile,41,45,Married,1
2n Cycle,68316,04-11-2021,54,807,82,161,120,11,33,5,10,7,10,6,0,-1,0,0,0,0,Male,32,Card,32,1214,Together,1
Graduation,39146,14-02-2022,1,95,3,33,13,12,12,3,4,0,4,8,0,-1,0,0,0,0,Other,11,Online,35,168,Single,1
Graduation,40794,07-04-2022,18,262,25,73,4,23,50,2,6,3,5,7,0,-1,0,0,0,0,Male,16,Not Provided,43,437,Married,1
Graduation,71022,11-02-2023,30,910,14,278,0,12,242,3,5,2,11,8,1,-1,0,0,0,0,Male,21,Cash,37,1456,Divorced,1
Master,73705,05-03-2023,86,613,93,520,258,107,107,2,9,6,8,5,0,0,0,0,0,0,Male,25,Not Provided,41,1698,Widow,2
Master,77520,28-08-2022,30,941,46,396,0,88,58,1,8,7,7,4,1,-1,0,1,0,0,Male,23,Card,32,1529,Married,1
PhD,42873,21-01-2022,11,210,2,40,3,2,15,4,6,1,4,8,0,-1,0,0,0,0,Other,15,Card,31,272,Divorced,2
Basic,15862,27-06-2022,26,2,3,4,11,9,10,1,1,0,3,8,0,0,0,0,0,0,Other,5,Online,35,39,Single,1
2n Cycle,17117,17-01-2022,96,13,25,38,30,18,7,4,3,1,3,9,0,-1,0,0,0,0,Male,11,Not Provided,41,131,Together,1
Graduation,56796,16-02-2022,24,657,40,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,Other,27,Online,39,1004,Married,1
2n Cycle,7500,07-02-2022,96,2,13,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,Other,7,Online,35,39,Married,1
Master,33051,16-08-2021,15,101,73,243,108,94,219,3,9,1,8,9,0,-1,0,0,0,0,Female,21,Not Provided,41,838,Widow,0
PhD,33762,07-07-2022,61,54,3,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,Other,9,Online,38,109,Married,3
Graduation,31928,28-03-2023,5,34,6,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,Other,9,Cash,35,75,Together,1
PhD,59973,11-09-2022,47,131,32,168,20,34,0,1,3,4,7,1,0,-1,0,0,0,0,Male,15,Online,36,385,Married,0
Graduation,60152,28-03-2022,6,326,85,300,86,58,91,1,6,4,12,3,0,-1,0,0,0,0,Other,23,Card,40,946,Single,1
Graduation,80982,08-01-2022,48,506,139,401,104,22,22,3,11,5,11,5,0,-1,0,0,0,1,Male,30,Mobile,44,1194,Single,2
Basic,13724,31-08-2021,43,3,9,5,2,15,27,1,2,0,2,9,1,-1,0,0,0,0,Female,5,Not Provided,35,61,Together,1
Graduation,85683,21-03-2023,6,1297,19,311,45,69,51,1,2,4,10,1,0,-1,1,1,1,0,Female,17,Online,33,1792,Divorced,0
Graduation,24762,10-02-2023,16,7,12,12,3,15,40,3,3,1,2,8,1,-1,0,0,0,0,Male,9,Not Provided,37,89,Single,1
PhD,60631,05-04-2022,88,566,8,65,0,6,19,5,9,2,8,7,0,-1,0,0,0,0,Other,24,Cash,36,664,Married,2
Graduation,42586,29-10-2021,7,195,4,56,0,0,0,5,4,1,6,8,0,-1,0,0,0,0,Male,16,Card,38,255,Together,2
PhD,86580,27-02-2022,72,533,23,127,26,20,20,0,4,2,5,1,0,0,0,0,0,0,Other,11,Online,43,749,Married,0
Graduation,48686,04-12-2022,8,11,2,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,Male,4,Cash,33,23,Married,3
Master,60482,23-01-2022,81,256,45,134,37,14,24,1,7,2,7,7,0,-1,0,0,0,0,Male,17,Mobile,31,510,Single,1
PhD,64014,10-06-2023,56,407,2,30,0,0,8,7,8,2,5,7,0,0,0,1,0,0,Male,22,Cash,36,447,Together,3
PhD,36930,17-05-2022,50,224,4,31,0,2,39,5,5,2,4,8,0,-1,0,0,0,0,Female,16,Cash,32,300,Married,1
2n Cycle,83257,18-09-2021,56,537,29,590,38,107,67,1,5,10,12,6,1,-1,0,0,0,1,Male,28,Not Provided,39,1368,Single,0
2n Cycle,82326,10-03-2023,30,939,144,754,159,81,183,1,5,10,6,2,0,0,0,1,0,0,Male,22,Card,41,2260,Together,0
2n Cycle,31395,23-03-2022,80,24,3,25,0,8,7,4,2,1,3,6,0,-1,0,0,0,0,Female,10,Not Provided,46,67,Divorced,2
PhD,45921,10-03-2023,23,103,11,49,24,3,12,1,2,1,6,4,0,-1,0,0,0,0,Other,10,Online,43,202,Married,0
PhD,36038,31-05-2022,82,24,2,15,0,2,7,2,3,0,3,6,0,-1,0,0,0,0,Female,8,Cash,43,50,Single,1
Graduation,42243,11-12-2022,34,49,2,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,Other,7,Online,45,58,Married,2
Graduation,54058,04-06-2022,56,199,20,252,32,108,54,2,4,6,8,3,0,-1,0,0,0,0,Female,20,Card,37,665,Together,1
PhD,54072,27-07-2022,71,36,2,4,0,0,0,1,2,0,2,8,0,-1,0,0,0,0,Other,5,Cash,29,42,Married,2
PhD,76842,03-05-2023,37,606,12,345,84,54,32,1,1,8,7,0,0,-1,0,0,0,0,Female,17,Online,37,1133,Widow,0
Master,78093,11-12-2022,53,369,34,639,13,43,10,1,4,7,5,1,0,-1,0,0,0,0,Other,17,Cash,35,1108,Together,0
2n Cycle,51111,19-06-2023,83,23,2,19,6,5,3,2,2,0,3,6,0,0,0,0,0,0,Female,7,Cash,35,58,Married,2
2n Cycle,66664,25-09-2021,78,399,98,447,220,96,32,1,5,7,6,3,0,-1,0,0,0,0,Other,19,Online,34,1292,Together,0
Master,57136,09-07-2022,48,307,7,109,21,109,92,9,5,2,10,6,0,0,0,0,0,0,Female,26,Mobile,38,645,Married,2
Graduation,63381,05-10-2021,78,572,52,142,33,50,159,4,4,5,13,2,0,-1,0,0,0,0,Male,26,Mobile,35,1008,Together,1
PhD,57513,06-07-2022,59,736,42,183,52,20,30,2,9,3,13,6,0,-1,0,0,0,0,Female,27,Online,34,1063,Widow,0
Graduation,76624,24-05-2023,68,412,108,147,54,115,66,1,5,10,7,1,1,-1,0,0,0,0,Female,23,Not Provided,42,902,Single,1
Master,6560,12-12-2022,2,68,13,26,4,3,262,0,1,0,1,17,0,-1,0,0,0,0,Other,2,Card,46,376,Single,0
Graduation,33378,06-02-2022,38,34,8,40,3,7,10,3,2,0,4,7,0,-1,0,0,0,0,Other,9,Not Provided,33,102,Divorced,2
Graduation,83844,12-05-2022,57,902,33,345,75,31,191,1,4,4,11,1,0,0,0,0,0,0,Female,20,Mobile,38,1577,Together,0
Graduation,38872,30-05-2022,93,24,5,21,3,19,22,2,3,0,3,8,0,-1,0,0,0,0,Other,8,Cash,35,94,Married,1
Graduation,41967,23-11-2022,66,24,6,10,0,2,15,1,1,0,3,4,0,-1,0,0,0,0,Female,5,Not Provided,41,57,Single,2
Graduation,65308,11-09-2022,60,714,2,264,120,80,34,1,7,8,12,4,0,-1,0,1,0,0,Other,28,Not Provided,38,1214,Married,0
PhD,65324,11-01-2023,0,385,2,102,21,32,5,3,6,2,9,4,0,-1,0,0,0,0,Female,20,Mobile,35,547,Married,1
Master,70053,03-07-2022,38,513,55,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,Male,26,Card,35,1015,Married,1
PhD,70179,21-07-2022,10,533,90,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,Other,26,Card,41,1037,Divorced,1
Master,37760,11-08-2022,54,27,5,13,2,10,0,1,2,0,3,6,0,-1,0,0,0,0,Female,6,Not Provided,38,57,Divorced,1
Graduation,90369,28-04-2023,2,293,53,981,224,23,17,1,4,6,6,1,0,-1,0,0,0,0,Other,17,Not Provided,33,1591,Married,0
Basic,9548,08-08-2021,31,1,3,3,10,6,9,2,1,0,3,8,0,-1,0,0,0,0,Male,6,Card,38,32,Divorced,1
PhD,94871,01-09-2021,99,170,26,553,188,0,144,1,8,5,4,7,0,-1,0,0,0,0,Male,18,Online,39,1081,Married,2
2n Cycle,53233,18-03-2023,18,29,2,9,3,0,0,1,1,0,3,4,0,0,0,0,0,0,Other,5,Online,35,43,Married,1
Graduation,59925,30-11-2021,83,474,23,176,19,21,56,3,9,2,9,6,0,0,0,0,0,0,Other,23,Card,39,769,Together,1
Graduation,64090,07-08-2022,8,317,60,161,76,51,135,1,6,9,4,5,0,-1,0,0,0,0,Male,20,Online,42,800,Together,1
PhD,26518,08-04-2022,33,21,3,28,3,3,2,3,2,0,3,8,0,-1,0,0,0,0,Male,8,Cash,37,60,Single,2
2n Cycle,46772,07-11-2021,88,351,106,189,197,151,57,6,11,8,5,8,1,-1,0,0,0,0,Other,30,Card,38,1051,Together,1
Graduation,27242,11-11-2021,2,4,19,26,20,1,39,2,2,0,3,9,0,0,0,0,0,0,Female,7,Not Provided,46,109,Single,1
Master,48721,13-05-2022,50,82,20,113,47,13,21,6,4,2,5,6,0,-1,0,0,0,0,Female,17,Mobile,38,296,Divorced,2
Graduation,79946,12-05-2023,19,396,185,565,166,141,28,1,5,11,5,3,0,-1,0,0,0,0,Female,22,Not Provided,39,1481,Widow,0
Graduation,39660,08-08-2021,36,140,15,78,20,13,36,3,7,1,3,9,0,-1,0,0,0,0,Other,14,Cash,27,302,Single,1
Graduation,94384,04-03-2022,62,1112,26,790,160,45,172,0,5,8,5,2,0,0,0,1,0,0,Male,18,Not Provided,27,2305,Together,0
Basic,14918,07-12-2021,52,4,5,3,15,4,15,1,1,0,3,6,0,-1,0,0,0,0,Female,5,Cash,34,46,Together,1
Graduation,46049,21-07-2022,11,343,11,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,Other,26,Online,38,518,Married,2
Graduation,71855,16-01-2022,59,549,33,422,0,112,28,4,5,5,11,3,0,-1,0,0,0,0,Female,25,Card,30,1144,Married,1
Master,64191,22-01-2022,30,421,17,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,Other,24,Cash,37,828,Single,1
Graduation,19107,22-08-2022,49,3,6,9,10,5,16,2,1,0,3,7,0,0,0,0,0,0,Female,6,Online,35,49,Married,1
2n Cycle,23718,02-09-2022,76,7,5,14,15,7,36,3,3,1,2,7,0,-1,0,0,0,0,Male,9,Card,30,84,Married,1
Master,32889,06-09-2022,78,29,2,13,4,2,8,3,2,1,3,5,0,0,0,0,0,0,Other,9,Online,40,58,Together,2
PhD,46015,13-04-2023,25,39,2,2,0,0,6,1,1,0,3,7,1,1,1,0,1,0,Female,5,Not Provided,36,49,Together,2
2n Cycle,38593,13-09-2022,42,52,14,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,Female,11,Online,40,180,Single,1
Graduation,80685,22-08-2021,55,242,47,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,Male,21,Mobile,34,1007,Together,0
Graduation,30828,04-10-2022,16,17,13,15,2,0,12,2,1,1,4,3,0,-1,0,0,0,0,Female,8,Not Provided,31,59,Single,1
Graduation,75027,09-01-2022,74,926,66,179,133,12,77,2,9,4,6,5,0,-1,0,0,0,0,Male,21,Not Provided,40,1393,Married,1
PhD,63342,16-10-2021,48,919,23,118,13,10,21,3,8,3,5,6,0,-1,0,0,0,0,Female,19,Cash,35,1104,Together,1
Master,49389,29-08-2022,55,41,2,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,Male,6,Cash,40,68,Single,2
PhD,30298,19-05-2023,48,7,5,12,6,1,0,1,1,1,3,3,0,-1,0,0,0,0,Other,6,Card,44,31,Single,0
PhD,62670,02-02-2023,57,540,32,92,80,46,38,1,5,3,13,3,0,0,0,0,0,0,Other,22,Online,35,828,Married,1
PhD,73356,06-02-2023,56,1051,16,322,0,14,112,1,5,11,5,2,1,1,0,1,0,0,Male,22,Online,25,1515,Married,0
Graduation,75276,27-09-2021,2,611,107,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,Male,23,Card,39,1043,Together,0
2n Cycle,24336,27-08-2021,82,2,8,2,8,2,12,1,1,0,2,7,0,-1,0,0,0,0,Female,4,Online,37,34,Single,1
Graduation,5305,30-07-2022,12,13,6,7,1,3,5,0,1,0,0,13,0,-1,0,0,0,0,Other,1,Card,34,35,Married,1
Graduation,79593,12-05-2023,70,351,62,568,110,133,145,1,5,6,7,2,0,-1,0,0,0,0,Female,19,Not Provided,47,1369,Married,0
Master,65735,07-12-2022,37,240,9,119,4,15,11,5,6,2,6,7,0,-1,0,0,0,0,Other,19,Online,36,398,Together,2
Master,45736,24-07-2022,92,189,5,180,20,3,43,5,7,1,6,7,0,0,0,0,0,0,Female,19,Cash,42,440,Married,1
